,title,webpage_url,upload_date,view_count
158,Enfin comprendre l'Intelligence Artificielle en 5min avec des chats.,https://www.youtube.com/watch?v=RC7GTAKoFGA,2021-12-08,10219
159,Machine Learning: o que é e por que você deveria se importar,https://www.youtube.com/watch?v=lGO6vRZwf0M,2021-07-27,422
160,What is Machine Learning?,https://www.youtube.com/watch?v=lsf060bLH_Y,2021-06-06,233286
161,Top 10 Machine Learning Software Tools for 2021 | EM360,https://www.youtube.com/watch?v=klHIvdPJndw,2021-03-01,2205
162,The Difference Between Artificial Intelligence and Machine Learning,https://www.youtube.com/watch?v=ihd9zrW6DOk,2018-05-11,34301
163,Naive Bayes Classifier in Python | Naive Bayes Algorithm | Machine Learning Algorithm | Edureka,https://www.youtube.com/watch?v=vz_xuxYS2PM,2018-07-26,187571
164,K Means Clustering Algorithm | K Means Example in Python | Machine Learning Algorithms | Edureka,https://www.youtube.com/watch?v=1XqG0kaJVHY,2018-05-28,281609
165,Is Machine Learning by Andrew Ng on Coursera worth it in 2021? [Course Review],https://www.youtube.com/watch?v=LMja0isVs3E,2021-02-20,20131
166,Top Machine Learning Certifications For 2021,https://www.youtube.com/watch?v=YhXzUZGKhIY,2021-03-09,25513
167,"Supervised, Unsupervised and Reinforcement Learning in Artificial Intelligence in Hindi",https://www.youtube.com/watch?v=4dwsSz_fNSQ,2019-06-04,257509
168,Machine Learning PREREQuisites | what to learn first,https://www.youtube.com/watch?v=kAIdSThbKnE,2019-03-26,60296
169,Signal Processing and Machine Learning Techniques for Sensor Data Analytics,https://www.youtube.com/watch?v=GZ3KUPqA1JM,2017-06-29,54963
170,Classify Images Using Python & Machine Learning,https://www.youtube.com/watch?v=iGWbqhdjf2s,2020-06-05,84215
171,Machine Learning and Economics: An Introduction,https://www.youtube.com/watch?v=Z0ZcsxI-HTs,2021-08-03,4167
172,"Real-World Python Machine Learning Tutorial w/ Scikit Learn (sklearn basics, NLP, classifiers, etc)",https://www.youtube.com/watch?v=M9Itm95JzL0,2019-09-30,139937
173,Machine Learning Algorithms Full Course | Machine Learning Algorithms Explained | Simplilearn,https://www.youtube.com/watch?v=k9V3DapHEDA,2021-02-15,17554
174,AWS Machine Learning Tutorial | Amazon Machine Learning | AWS Training | Edureka,https://www.youtube.com/watch?v=TzLuAjhfSrE,2018-08-16,66078
175,Build a machine learning node for Node-RED using TensorFlow.js,https://www.youtube.com/watch?v=bOdlPwWej98,2020-06-04,17986
176,Mathematics of Machine Learning,https://www.youtube.com/watch?v=8onB7rPG4Pk,2018-03-17,414585
177,Confusion Matrix In Machine Learning | Confusion Matrix Explained With Example | Simplilearn,https://www.youtube.com/watch?v=prWyZhcktn4,2020-08-31,19145
178,Supervised vs Unsupervised vs Reinforcement Learning | Machine Learning Tutorial | Simplilearn,https://www.youtube.com/watch?v=1FZ0A1QCMWc,2020-11-20,18460
179,MLOps explained | Machine Learning Essentials,https://www.youtube.com/watch?v=ZVWg18AXXuE,2021-07-30,11767
180,Hello World - Machine Learning Recipes #1,https://www.youtube.com/watch?v=cKxRvEZd3Mw,2016-03-30,2594763
181,Top 10 - Aplicaciones del Machine Learning,https://www.youtube.com/watch?v=ewentblFn74,2020-11-24,5968
182,1. Build Your First Machine Learning Model,https://www.youtube.com/watch?v=CbXj7091OWA,2018-08-08,32832
183,Let’s Write a Pipeline - Machine Learning Recipes #4,https://www.youtube.com/watch?v=84gqSbLcBFE,2016-05-11,485066
184,Interview With My Brother Who Sold His Startup For $60 Million | Machine Learning Engineer,https://www.youtube.com/watch?v=fB7nyxXaczY,2019-10-16,1391401
185,Signal Processing and Machine Learning,https://www.youtube.com/watch?v=mexN6d8QF9o,2015-07-15,104570
186,Tutorial 48- Naive Bayes' Classifier Indepth Intuition-  Machine Learning,https://www.youtube.com/watch?v=jS1CKhALUBQ,2020-04-20,142041
